square_neighborhood,avg_price_house,n,predicted_rent,price_rent_ratio
701-801_Richmond North,635351.238095238,21,1962.39239848027,26.9803004480344
1351-1601_Richmond Central,776833.333333333,6,2399.64950028099,26.9773194391642
1001-101_New Westminster Downtown,668763.545454545,11,2074.9785152089,26.8582518064939
701-801_Renfrew-Collingwood,612258.8,10,1908.34982558446,26.7359610814755
1001-101_Garden Village,669333.333333333,3,2086.49760602068,26.7327303021238
801-901_Hollyburn,716966.666666667,9,2235.2382628827,26.7296883801409
801-901_Renfrew-Collingwood,656088.888888889,9,2047.40391501729,26.7040976492478
601-701_Queens Park,509966.666666667,3,1595.21676122165,26.6404060283801
901-1001_Garden Village,637666.666666667,9,1995.70940103505,26.6265664035701
601-701_Middlegate,521180,5,1631.89822036692,26.6142006435312
1101-1351_Kerrisdale,932000,3,2922.8609186597,26.5721390199713
901-1001_University Hill (UBC),792400,5,2485.2521973391,26.570073413086
601-701_Killarney,575000,3,1810.38350361729,26.467688515127
901-1001_Brentwood,680336.363636364,11,2149.75311623306,26.3726548604991
1001-101_Port Coquitlam,546150,4,1726.12709986516,26.3668301155549
901-1001_Sapperton,625450,4,1988.47348808678,26.2114801356903
701-801_Fairview,630450,4,2007.72887578555,26.1676268313091
601-701_Brentwood,550607.142857143,14,1758.36423277194,26.0946666886505
701-801_Strathcona,734450,4,2352.69161937857,26.0145299802755
701-801_Middlegate,572414.285714286,7,1836.04895891285,25.9803477704837
601-701_Renfrew-Collingwood,544133.333333333,6,1748.2141982822,25.9375793246617
901-1001_Capitol Hill,747066.666666667,6,2407.68885639511,25.8569770716832
1101-1351_Richmond North,779193.815789474,38,2513.51826975123,25.833437840451
1101-1351_Kelvin,690500,4,2229.43107120282,25.8100227497151
701-801_Kerrisdale,723888.888888889,9,2338.96936831471,25.790878192449
701-801_Grandview-Woodland,607077.777777778,9,1962.0605226324,25.7840235972645
801-901_Willingdon Heights,875000,3,2837.77975827378,25.6949703211013
801-901_Sullivan Heights,556650,4,1807.21922582893,25.6678876237182
901-1001_Kensington-Cedar Cottage,693883.333333333,6,2261.54644582715,25.568173148866
701-801_Kensington-Cedar Cottage,623232,15,2048.93300361683,25.3478273366289
801-901_Lougheed,553760,5,1824.30553666487,25.2954703799399
1101-1351_Oakridge,762750,4,2514.05846393601,25.2828249270252
1101-1351_New Westminster Downtown,689188.888888889,27,2273.59401025879,25.260625752999
1001-101_Capitol Hill,763940,5,2521.26808536669,25.249860193827
501-601_West End,701999.888888889,9,2319.43538445388,25.2216514125978
901-1001_Univercity,653700,7,2162.56095751964,25.1900413769055
1001-101_West End,895266.666666667,3,2966.42606846925,25.1499797512412
701-801_West End,771099.9375,16,2558.91658389589,25.1115368626703
801-901_Downtown,889294.594594595,37,2959.62280259162,25.0396377599165
901-1001_Metrotown,693531.44,25,2309.27251088589,25.0270534959495
1101-1351_University Hill (UBC),858700,4,2859.83341522594,25.0218537039088
601-701_West End,724828.461538462,13,2416.48025459248,24.9960129738606
1101-1351_Metrotown,787243.481481481,27,2625.13021015016,24.9906169237363
801-901_West End,788666.666666667,3,2636.52849922775,24.9275599491804
601-701_Mount Pleasant,744425,8,2500.1232503471,24.8129433851127
701-801_Capitol Hill,627966.666666667,3,2114.34531560333,24.7502407337956
901-1001_Grandview-Woodland,652150,6,2196.87401906733,24.7378014677444
901-1001_Middlegate,601633.333333333,3,2029.28292432111,24.7063189219335
701-801_Hollyburn,627450,4,2124.44313368577,24.6123321311428
1001-101_Fairview,708666.666666667,3,2400.71935792457,24.5991083300171
901-1001_Downtown,908669.882352941,17,3082.78957587731,24.5629772426258
801-901_Univercity,604333.333333333,6,2055.07563397988,24.505721482173
701-801_Downtown,822804.536585366,41,2807.24297109621,24.4250481420467
901-1001_Renfrew-Collingwood,616000,3,2112.58583895072,24.2988154075811
901-1001_West End,829475,4,2848.21503323869,24.2688546545825
601-701_Kensington-Cedar Cottage,528600,3,1823.62156229556,24.1552309485473
501-601_Kensington-Cedar Cottage,518450,4,1788.77726221493,24.152904656877
801-901_Victoria-Fraserview,607675,4,2102.83153219081,24.0816168856737
1101-1351_Willingdon Heights,930814.285714286,7,3233.90008346243,23.9858545845386
801-901_Mount Pleasant,794371.428571429,7,2765.6384899583,23.9357455025213
1001-101_Mary Hill,583225,4,2031.24662936244,23.9272191917868
1101-1351_Port Coquitlam,570975,4,1991.0099054916,23.8980478543886
401-501_West End,633666.666666667,3,2217.59817504918,23.8120486162397
701-801_Yaletown,913700,14,3227.0063213356,23.5951402274146
1351-1601_New Westminster Downtown,723611.111111111,18,2557.35890852716,23.5793754739942
901-1001_Lougheed,553600,5,1959.77396987167,23.5401296489075
1001-101_Metrotown,696677.777777778,18,2471.15506888417,23.4936618152807
1101-1351_Queens Park,642720.571428571,14,2300.71925253504,23.2796972338249
901-1001_Lynn Valley,796250,4,2859.63868647258,23.2036889767063
601-701_Downtown,741666.176470588,68,2665.43181502942,23.1878055770863
501-601_Mount Pleasant,653733.333333333,9,2378.99709302329,22.8994721925221
701-801_Mount Pleasant,713971.428571429,7,2599.31513345623,22.8897290220085
801-901_Downtown Eastside,837394,4,3115.61194354442,22.3977936270029
801-901_Lynn Valley,738666.666666667,3,2753.70802061141,22.3536973037135
1001-101_Downtown,844340,5,3168.4174024702,22.2071961263092
501-601_Downtown,682099.328358209,67,2559.91065498567,22.2045291251916
801-901_Point Grey,791000,4,2981.26408380518,22.1103078471777
1351-1601_Richmond North,736073.5,8,2777.70454928138,22.0827871521478
901-1001_Willingdon Heights,791250,4,3005.61147298878,21.9381315890545
1101-1351_Lynn Valley,815333.333333333,3,3098.24055435777,21.9300093883538
501-601_Lynn Valley,624225,4,2372.19296385792,21.9285491494762
701-801_Downtown Eastside,794966.666666667,3,3048.88320169974,21.7283568571239
1001-101_Yaletown,938000,3,3606.25001995904,21.6753320579682
701-801_Point Grey,732723.076923077,13,2817.87817361999,21.6688773070041
401-501_Downtown,630488.461538462,26,2434.25178513809,21.5839238360565
1101-1351_Sapperton,602025,4,2357.48361157676,21.2806357395823
1101-1351_Sullivan Heights,552300,3,2195.83964248642,20.9600915793124
601-701_Willingdon Heights,641400,5,2551.41260403272,20.9491792568234
501-601_Point Grey,639242.857142857,7,2557.3150350976,20.83053412041
1601-1851_Maple Ridge,556566.666666667,3,2270.29643769276,20.429294952641
601-701_Lynn Valley,597950,4,2462.34884630149,20.2364367427106
1351-1601_Fairview,702266.666666667,3,2916.43660553519,20.0663446999504
901-1001_Kitsilano,828889.5,10,3465.62468714323,19.9312191121708
501-601_Yaletown,714000,7,2985.95951185483,19.9265930310755
801-901_Kitsilano,788316.666666667,18,3302.39787125613,19.8925320680902
1101-1351_Kitsilano,889250,4,3733.17450644461,19.8501748414761
601-701_Point Grey,641866.666666667,9,2709.58591011225,19.7406137555067
901-1001_Mount Pleasant,680750,4,2891.66915705258,19.6181387238952
601-701_Yaletown,726514.142857143,7,3095.84100502764,19.5561868777414
701-801_Kitsilano,746658.333333333,24,3187.90973534305,19.5179703766243
1001-101_Kitsilano,821571.428571429,7,3579.11721239231,19.1288191057938
601-701_Kitsilano,650889.25,28,3058.24366163996,17.7359219324752
501-601_Kitsilano,619906.666666667,15,2946.90646250811,17.5298705765239
601-701_Coal Harbour,697950,4,3340.20359876162,17.4128607075221
501-601_Coal Harbour,643065.333333333,9,3261.87880388123,16.4288071383933
401-501_Kitsilano,546222,4,2833.88712814916,16.0622134692177
