term,estimate,std.error,statistic,p.value
neighborhoodSun Valley,952.15,1264.76,0.75,0.45
neighborhoodWest End,1001.74,383.12,2.61,0.01
neighborhoodLynn Valley,1036.23,931.43,1.11,0.27
neighborhoodMount Pleasant,1066.76,410.33,2.6,0.01
neighborhoodWest Vancouver,1123.87,428.39,2.62,0.01
neighborhoodWillingdon Heights,1139.07,545.82,2.09,0.04
neighborhoodDowntown,1258.45,376.32,3.34,0
neighborhoodPoint Grey,1277.28,422.58,3.02,0
neighborhoodDowntown Eastside,1433.39,615.72,2.33,0.02
neighborhoodKitsilano,1636,377.7,4.33,0
neighborhoodYaletown,1689.49,377.03,4.48,0
neighborhoodCoal Harbour,1941.04,389.59,4.98,0
neighborhoodShaugnessey,2369.72,517.99,4.57,0
