square_neighborhood,avg_price_rent,n,predicted_house,price_rent_ratio
1001-101_Mount Pleasant,2931.66666666667,3,815393.892327357,23.1777684004365
901-1001_Kitsilano,2909.34782608696,23,809007.522524171,23.1726481581807
901-1001_Point Grey,2825,4,784291.671110488,23.1354475253831
901-1001_Lougheed,2150.71428571429,7,595094.448646758,23.0580158337613
1101-1351_Strathcona,3283.33333333333,3,908436.591558802,23.0567662832183
701-801_Burquitlam,1833.33333333333,3,507038.892891103,23.0472224041411
801-901_Burquitlam,1936.25,8,535202.1035166,23.0343061552227
501-601_Sapperton,1650,3,455903.293888343,23.0254188832497
901-1001_Univercity,2366.66666666667,3,650201.454180905,22.8944174007361
2101-2351_Point Grey,4358.33333333333,3,1192044.70688917,22.7924418143245
901-1001_Downtown,3223.07692307692,15,876896.740490198,22.6723500922287
701-801_Downtown,2985.3,31,809861.348547784,22.6069224909776
1101-1351_Willingdon Heights,3612.5,4,976526.958305835,22.5265734326605
601-701_Point Grey,2531.66666666667,3,682785.038732399,22.4748202347728
1101-1351_Mount Pleasant,3330.625,8,896448.289701213,22.429431155344
1101-1351_Point Grey,3281.875,8,877708.913532437,22.2867749262347
801-901_Mount Pleasant,2892,5,765540.674732544,22.0591480732061
1851-2101_Maple Ridge,3264.28571428571,7,860231.589687708,21.9606897440334
701-801_Grandview-Woodland,2598.33333333333,3,684500.982445502,21.9532066210873
1101-1351_Burquitlam,2430,5,638330.449923805,21.8906189960153
901-1001_Yaletown,3522.5,10,925285.120770826,21.8898774726952
801-901_West End,3181.66666666667,9,834822.474075628,21.8654393419494
1101-1351_Riley Park,3546.66666666667,3,929451.300130701,21.8386113752514
2601-2851_Kitsilano,5148.33333333333,6,1339071.52858538,21.6748385980152
801-901_Univercity,2434,5,626850.330362813,21.4615971775819
1101-1351_West End,3629,5,929906.112163114,21.3535894223182
1351-1601_Kensington-Cedar Cottage,3390,5,852457.54866623,20.9552003113626
701-801_Downtown Eastside,2981.66666666667,3,744648.141253684,20.8118541434791
1101-1351_Downtown,3777.89473684211,20,931873.079164892,20.5553874154047
1101-1351_Yaletown,4145.83333333333,37,1017807.10700774,20.4584343117133
1001-101_Downtown,3798.63636363636,12,921307.111937777,20.2113562109919
901-1001_Coal Harbour,3393.88888888889,9,822228.151104652,20.1889380693563
501-601_Sunset,1950,3,457874.750486276,19.567297029328
1351-1601_Yaletown,4581.25,8,1065058.24731323,19.37350154276
1001-101_Yaletown,4136.15384615385,14,959100.870226398,19.323525065004
2351-2601_Capitol Hill,5400,3,1225504.06000501,18.9120996914354
901-1001_West End,3845.625,8,858099.662609174,18.59471613
801-901_Coal Harbour,3609.81818181818,11,805393.336383375,18.5926570217108
1351-1601_Kitsilano,4349,10,969477.774505275,18.5766416514386
1851-2101_Kitsilano,4980,5,1088365.27922056,18.2122704019504
1001-101_Kitsilano,3700,4,804437.046427131,18.1179514961065
1351-1601_Mount Pleasant,4500,3,973747.759998487,18.0323659258979
1601-1851_West End,4916.66666666667,3,1063037.30884732,18.0175815058867
1601-1851_Kitsilano,4890,6,1045658.39911197,17.8196727865026
1001-101_Coal Harbour,4035,10,852856.345534055,17.6137204777789
1101-1351_Coal Harbour,4292.85714285714,14,904289.878911816,17.5541573832022
1601-1851_Coal Harbour,5036,5,1036374.79348174,17.1494372763063
1351-1601_West End,4666.66666666667,3,956150.897319481,17.0741231664193
1101-1351_Kitsilano,4493.75,12,902705.237434066,16.7400136751797
1601-1851_Yaletown,5798.16666666667,6,1146763.71179387,16.4816998446904
1351-1601_Downtown,5508,5,989862.978028112,14.9761404325241
1351-1601_Coal Harbour,5439,5,939259.977056362,14.3908190392897
2351-2601_Yaletown,8500,3,1295070.63710197,12.6967709519801
1851-2101_Coal Harbour,7491.66666666667,3,1079181.37093205,12.0042421683209
3601-4101_Kitsilano,12758.8,5,1628908.5387668,10.6391179601974
2351-2601_Kitsilano,11882.5,6,1263720.39022976,8.86261582319771
901-1001_Sunset,6183.33333333333,3,619285.438325164,8.34616493699681
