"","price","building_number","street_number","street_name","city","province","squares","type","year","age","bed","bath","tax","longitude","latitude"
"42","$988,000","103","1633","W 11th Avenue","Vancouver West","BC","955 sq.ft.","Residential, Condo",1985,33,2,"2","$1,765",-123.1419505,49.2620171
"43","$988,000","1901","8833","Hazelbridge Way","Richmond","BC","933 sq.ft.","Residential, Condo",2016,2,2,"2","$2,166",-123.1269443,49.1896149
"44","$987,900","201","209","E 20th Avenue","Vancouver East","BC","769 sq.ft.","Residential, Condo",2019,NA,2,"2+1",NA,-123.1007807,49.2531977
"45","$987,600","702","5599","Cooney Road","Richmond","BC","823 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.1315365,49.1728858
"46","$986,000","1101","6200","River Road","Richmond","BC","900 sq.ft.","Residential, Condo",2014,4,2,"2","$2,328",-123.1487288,49.1736978
"47","$980,000","603","5782","Berton Avenue","Vancouver West","BC","890 sq.ft.","Residential, Condo",2011,7,2,"2","$1,660",-123.2338945,49.2553065
"48","$980,000","1208","5028","Kwantlen Street","Richmond","BC","1,138 sq.ft.","Residential, Condo",2006,12,3,"2","$2,322",-123.1283233,49.1769707
"49","$979,900","3003","2345","Madison Avenue","Burnaby","BC","1,173 sq.ft.","Residential, Condo",2008,10,3,"2","$3,398",-123.0110399,49.2630339
"50","$979,900","312","125","Milross Avenue","Vancouver East","BC","1,164 sq.ft.","Residential, Condo",2007,11,2,"2","$2,579",-123.1015312,49.2763404
"51","$979,000","4404","4485","Skyline Drive","Burnaby","BC","833 sq.ft.","Residential, Condo",2017,1,2,"2","$3,047",-123.0044158,49.2653713
"52","$979,000","3301","6538","Nelson Avenue","Burnaby","BC","851 sq.ft.","Residential, Condo",2017,1,2,"2","$2,606",-122.9934732,49.2243416
"53","$978,800","312","1351","Continental Street","Vancouver West","BC","984 sq.ft.","Residential, Condo",2014,4,2,"2","$2,374",-123.1287753,49.2761771
"54","$978,000","1112","5233","Gilbert Road","Richmond","BC","1,114 sq.ft.","Residential, Condo",2016,2,3,"3","$1,798",-123.1459588,49.175655
"55","$978,000","119","530","Ravenwoods Drive","North Vancouver","BC","1,359 sq.ft.","Residential, Condo",2006,12,3,"2","$3,023",-122.9716685,49.3067465
"56","$978,000","1801","1033","Marinaside Crescent","Vancouver West","BC","750 sq.ft.","Residential, Condo",2002,16,1,"1","$2,177",-123.1163371,49.2734623
"57","$978,000","1302","1238","Melville Street","Vancouver West","BC","875 sq.ft.","Residential, Condo",1996,22,2,"2","$2,116",-123.1253203,49.2883076
"58","$975,000","311","6168","London Road","Richmond","BC","1,067 sq.ft.","Residential, Condo",2015,3,2,"2","$2,071",-123.1578463,49.1173361
"59","$975,000","518","1082","Seymour Street","Vancouver West","BC","890 sq.ft.","Residential, Condo",2006,12,2,"2","$1,886",-123.1230539,49.2776476
"60","$974,000","1805","867","Hamilton Street","Vancouver West","BC","1,004 sq.ft.","Residential, Condo",1995,23,2,"2","$2,112",-123.1170413,49.2783131
"61","$970,900","301","128","E 8th Street","North Vancouver","BC","1,028 sq.ft.","Residential, Condo",2021,NA,3,"2",NA,-123.0737451,49.3187063
"62","$969,900","903","2788","Prince Edward Street","Vancouver East","BC","945 sq.ft.","Residential, Condo",2013,5,2,"2","$2,199",-123.0958121,49.2603346
"63","$969,000","304","108","E 35th Avenue","Vancouver East","BC","885 sq.ft.","Residential, Condo",2019,NA,2,"2",NA,-123.1032706,49.239096
"64","$969,000","402","630","E Broadway Avenue","Vancouver East","BC","817 sq.ft.","Residential, Condo",2018,NA,1,"2",NA,-123.0903322,49.2622529
"65","$969,000","3003","193","Aquarius Mews","Vancouver West","BC","717 sq.ft.","Residential, Condo",2000,18,1,"1","$2,161",-123.1188092,49.2741473
"66","$969,000","2903","602","Citadel Parade","Vancouver West","BC","885 sq.ft.","Residential, Condo",2008,10,2,"2","$2,095",-123.1099791,49.2791479
"67","$968,000","1101","7117","Elmbridge Way","Richmond","BC","1,072 sq.ft.","Residential, Condo",2015,3,3,"2","$1,918",-123.1443481,49.1721636
"68","$968,000","315","5311","Cedarbridge Way","Richmond","BC","1,071 sq.ft.","Residential, Condo",2016,2,2,"2","$1,713",-123.1443716,49.1764611
"69","$968,000","3108","602","Citadel Parade","Vancouver West","BC","885 sq.ft.","Residential, Condo",2007,11,2,"2","$2,131",-123.1099791,49.2791479
"70","$968,000","516","5955","Birney Avenue","Vancouver West","BC","896 sq.ft.","Residential, Condo",2014,4,2,"2","$1,550",-123.2360983,49.2536016
"71","$968,000","309","1485","W 6th Avenue","Vancouver West","BC","898 sq.ft.","Residential, Condo",2000,18,2,"2","$2,449",-123.1375651,49.266305
"72","$968,000","1101","6168","Wilson Avenue","Burnaby","BC","1,155 sq.ft.","Residential, Condo",2012,6,2,"2","$3,227",-123.010247,49.22801
"73","$968,000","1807","1008","Cambie Street","Vancouver West","BC","897 sq.ft.","Residential, Condo",1997,21,2,"2","$2,103",-123.1179733,49.2756765
"74","$968,000","3210","6538","Nelson Avenue","Burnaby","BC","756 sq.ft.","Residential, Condo",2017,1,2,"2","$2,986",-122.9934732,49.2243416
"75","$967,900","308","680","Seylynn Crescent","North Vancouver","BC","1,229 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,NA,NA
